,bo_srm_xsd
143,0.820313
144,0.8007810000000001
145,0.5664060000000001
146,0.5664060000000001
147,0.390625
148,0.429688
149,0.351563
150,0.5273439999999999
151,0.6445310000000001
152,0.742188
153,0.6445310000000001
154,0.6445310000000001
155,0.839844
156,0.742188
157,0.6835939999999999
158,0.410156
159,0.273438
160,0.273438
161,0.273438
162,0.214844
163,0.214844
164,0.410156
165,0.410156
166,0.371094
167,0.488281
168,0.664063
169,0.5664060000000001
170,0.6445310000000001
171,0.6445310000000001
172,0.6445310000000001
173,0.664063
174,0.5664060000000001
175,0.410156
176,0.410156
177,0.390625
178,0.410156
179,0.585938
180,0.585938
181,0.488281
182,0.5664060000000001
183,0.742188
184,0.6445310000000001
185,0.5664060000000001
186,0.585938
187,0.429688
188,0.429688
189,0.429688
190,0.429688
191,0.546875
192,0.546875
193,0.742188
194,0.6445310000000001
195,0.507813
196,0.5273439999999999
197,0.507813
198,0.351563
199,0.332031
200,0.46875
201,0.292969
202,0.410156
203,0.3125
204,0.3125
205,0.175781
206,0.3125
207,0.3125
208,0.488281
209,0.410156
210,0.585938
211,0.429688
212,0.371094
213,0.371094
214,0.175781
215,0.175781
216,0.3125
217,0.410156
218,0.46875
219,0.46875
220,0.449219
221,0.46875
222,0.507813
223,0.46875
224,0.46875
225,0.585938
226,0.5664060000000001
227,0.5664060000000001
228,0.6835939999999999
229,0.7617189999999999
230,0.664063
231,0.6835939999999999
232,0.6835939999999999
233,0.6835939999999999
234,0.6445310000000001
235,0.507813
236,0.507813
237,0.507813
238,0.449219
239,0.449219
240,0.449219
241,0.234375
242,0.234375
243,0.6054689999999999
244,0.625
245,0.5664060000000001
246,0.585938
247,0.5664060000000001
248,0.429688
249,0.429688
250,0.253906
251,0.273438
252,0.410156
253,0.292969
254,0.292969
255,0.46875
256,0.449219
257,0.273438
258,0.371094
259,0.273438
260,0.410156
261,0.410156
262,0.390625
263,0.390625
264,0.292969
265,0.292969
266,0.429688
267,0.410156
268,0.390625
269,0.371094
270,0.195313
271,0.195313
272,0.136719
273,0.136719
274,0.195313
275,0.332031
